epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.559,1.7053,3.53955,1.91811,0.00809,0.61966,0.41301,0.22814,1.39966,3.41909,1.58249,0.000275,0.000275,0.000275
2,385.174,1.32237,2.22907,1.43865,0.81813,0.39886,0.51024,0.33102,1.24469,2.66533,1.37285,0.000551362,0.000551362,0.000551362
3,590.484,1.20697,1.91331,1.29715,0.84652,0.60151,0.61507,0.37768,1.31876,2.28632,1.68618,0.00081634,0.00081634,0.00081634
4,792.743,1.19891,1.77377,1.28139,0.79109,0.51716,0.46647,0.30913,1.18767,2.31956,1.39184,0.00106993,0.00106993,0.00106993
5,1481.45,1.19194,1.64812,1.25092,0.77167,0.26782,0.37845,0.19402,1.75403,3.81676,1.85162,0.001151,0.001151,0.001151
6,1682.9,1.11649,1.51902,1.19687,0.84351,0.60328,0.61228,0.41907,1.11355,1.68309,1.3275,0.00112625,0.00112625,0.00112625
7,1889.12,1.12472,1.51653,1.22161,0.93231,0.60399,0.62649,0.41688,1.26526,1.65249,1.3976,0.0011015,0.0011015,0.0011015
8,3044.72,1.07558,1.34901,1.18936,0.96734,0.58476,0.62766,0.4298,1.18427,1.42091,1.31667,0.00107675,0.00107675,0.00107675
9,3197.29,1.07287,1.30943,1.187,0.91852,0.63818,0.63248,0.42231,1.19691,1.34122,1.39103,0.001052,0.001052,0.001052
10,3347.65,1.04936,1.21196,1.16176,0.95989,0.57336,0.62578,0.42437,1.13219,1.26214,1.2832,0.00102725,0.00102725,0.00102725
11,3512.81,0.99576,1.14661,1.13035,0.95775,0.56788,0.62524,0.45764,1.05621,1.08693,1.27586,0.0010025,0.0010025,0.0010025
12,3666.2,0.97929,1.05434,1.11571,0.97153,0.5963,0.64857,0.47277,1.00166,1.08897,1.23763,0.00097775,0.00097775,0.00097775
13,3824.5,1.02507,1.05524,1.1546,0.97553,0.63301,0.65088,0.46904,0.99863,0.97023,1.22019,0.000953,0.000953,0.000953
14,3985.52,0.9837,1.06964,1.12947,0.95652,0.64321,0.6507,0.45016,1.00287,0.89956,1.26353,0.00092825,0.00092825,0.00092825
15,4168.12,0.94997,0.94427,1.11235,0.99747,0.63631,0.65453,0.44401,1.08407,0.8343,1.25913,0.0009035,0.0009035,0.0009035
16,4350.99,0.95069,1.03051,1.12174,0.99736,0.61966,0.64766,0.4795,0.96112,0.86295,1.17988,0.00087875,0.00087875,0.00087875
17,4534.91,0.94059,0.94029,1.10544,0.99797,0.61892,0.64501,0.4644,0.99794,0.83241,1.24505,0.000854,0.000854,0.000854
18,4720.54,0.91873,0.88754,1.10268,0.98447,0.6104,0.64137,0.45613,1.01776,0.86246,1.21984,0.00082925,0.00082925,0.00082925
19,4911.71,0.89937,0.91101,1.08353,0.99197,0.62195,0.64172,0.46579,1.01899,0.81229,1.22366,0.0008045,0.0008045,0.0008045
20,5104.18,0.88074,0.90731,1.07675,0.99002,0.64414,0.65216,0.42236,1.20857,0.82253,1.3672,0.00077975,0.00077975,0.00077975
21,5297.47,0.8852,0.83174,1.09269,0.97346,0.65385,0.65501,0.47899,0.94128,0.72713,1.18815,0.000755,0.000755,0.000755
